source,source_id,label,split
squad,5730c1ae396df9190009632c,0,train
squad,5727247c5951b619008f8669,0,train
squad,5726fff9708984140094d815,0,train
askd:external_en,39759,1,train
askd:external_en,76122,1,train
squad,5731cf05e17f3d1400422448,0,train
squad,56e7650200c9c71400d77099,0,train
squad,5709744f200fba1400368019,0,train
squad,57266f58708984140094c5e7,0,train
askd:external_en,40519,1,train
askd:external_en,36697,1,train
squad,570728019e06ca38007e94b2,0,train
askd:external_en,76040,1,train
squad,5727c9d22ca10214002d963c,0,train
squad,573035cd947a6a140053d297,0,train
askd:external_en,10629,1,train
askd:external_en,76087,1,train
askd:external_en,65248,1,train
squad,57314ace05b4da19006bcfe6,0,train
askd:external_en,85659,1,train
askd:external_en,83868,1,train
squad,572701bd708984140094d860,0,train
askd:external_en,5850,1,train
askd:external_en,46080,1,train
askd:external_en,81423,1,train
askd:external_en,133288,1,train
askd:external_en,55928,1,train
askd:external_en,122318,1,train
askd:external_en,122126,1,train
askd:external_en,132466,1,train
squad,5730537d396df91900096078,0,train
askd:external_en,124835,1,train
squad,5726b3bc708984140094ce3c,0,train
askd:external_en,165422,1,train
squad,56fa104bf34c681400b0bf97,0,train
squad,5726718ef1498d1400e8dfde,0,train
squad,56e142e6e3433e1400422d11,0,train
squad,570d2104b3d812140066d469,0,train
askd:external_en,82966,1,train
squad,5733e8ccd058e614000b6572,0,train
squad,572a531bb8ce0319002e2ab6,1,train
squad,573392424776f41900660d87,0,train
askd:external_en,38333,1,train
squad,57270b235951b619008f8524,1,train
squad,572914a26aef051400154a42,0,train
askd:external_en,86234,1,train
askd:external_en,79787,1,train
squad,5731cf05e17f3d1400422447,0,train
askd:external_en,108063,1,train
askd:external_en,81156,1,train
squad,57282ec4ff5b5019007d9ea5,0,train
squad,57301bfca23a5019007fcd84,1,train
askd:external_en,58243,1,train
askd:external_en,80045,1,train
askd:external_en,18489,1,train
squad,5726b794708984140094cedd,0,train
askd:external_en,56265,1,train
squad,57317711497a881900248f1b,0,train
askd:external_en,64563,1,train
squad,57284ee52ca10214002da27d,0,train
squad,5728d807ff5b5019007da7fe,0,train
askd:external_en,79453,1,train
squad,5709847a200fba1400368111,0,train
askd:external_en,56392,1,train
squad,56dcdca466d3e219004dab41,0,train
askd:external_en,20087,1,train
squad,572721d3dd62a815002e994e,0,train
